44,16,12,9.01,1.23,5.02,59,16,12,8.45,1,4.95,57,16,12,9.5,1.35,5.11,61,16,12,9.93,2.47,5.09,67,16,12,9.58,1.11,5.02,54,16,12,9.59,1.37,5.23,61,16,12,8.38,1.15,5.35,63,16,12,9.47,2.24,5.51,52,16,12,8.77,1.02,5.28,52,16,12,10.35,2.85,5.6
44,17,13,8.56,1.17,4.9,59,17,13,8.98,1.71,4.83,57,17,13,9.03,1.86,4.97,61,17,13,10.23,2.35,5.09,65,17,13,9.1,1.65,5.03,53,17,13,9.62,1.3,5.23,61,17,13,8.74,1.09,5.43,63,17,13,9.49,1.68,5.54,51,17,13,9.28,1.87,5.36,52,17,13,10.78,2.54,5.76
44,18,14,9.09,1.69,4.85,58,18,14,9.48,1.26,4.89,56,18,14,8.58,1.76,4.95,61,18,14,9.71,1.51,5.03,64,18,14,8.78,1.34,5.07,52,18,14,9.6,1.23,5.26,61,18,14,9.26,1.04,5.48,63,18,14,9.09,1.07,5.55,51,18,14,9.77,1.77,5.28,52,18,14,11.19,1.46,5.6
43,19,15,8.63,1.6,4.81,58,19,15,9.24,1.33,4.94,56,19,15,8.78,1.67,4.94,60,19,15,9.91,1.11,5.06,64,19,15,9.17,1.28,4.93,52,19,15,9.12,1.45,5.24,60,19,15,8.79,1.21,5.53,63,19,15,9.59,1.02,5.5,51,19,15,10.23,1.68,5.29,51,19,15,11.58,2.21,5.59
43,20,16,7.82,1.52,4.7,58,20,16,8.78,1.26,4.95,56,20,16,9.29,1.57,4.98,60,20,16,10.36,1.06,5.04,63,20,16,9.66,1.21,4.84,52,20,16,9.56,1.38,5.25,59,20,16,9.25,1.47,5.6,62,20,16,9.28,1.44,5.51,51,20,16,9.72,1.6,5.2,51,20,16,11,2.23,5.66
43,21,17,8.38,1.31,4.66,58,21,17,8.43,1.2,4.89,56,21,17,8.96,1.5,4.98,60,21,17,10.79,1,5,61,21,17,10.13,1.15,4.9,52,21,17,9.92,1.16,5.24,59,21,17,9.73,1.4,5.58,62,21,17,9.6,1.37,5.37,51,21,17,10.18,1.76,4.99,51,21,17,10.45,2.25,5.62
41,22,19,8.66,1.63,4.88,58,22,18,8.96,1.34,4.82,56,22,18,8.51,1.05,4.97,58,22,18,10.28,1.91,5.14,61,22,18,9.62,1.14,4.92,52,22,18,10,1.86,5.22,59,22,18,10.2,1.67,5.54,62,22,18,10.06,1.75,5.29,51,22,18,10.62,1.67,4.91,51,22,18,9.93,2.14,5.62
41,23,20,9.17,1.65,4.89,58,23,19,9.46,1.28,4.74,55,23,19,8.95,1.35,4.98,57,23,19,10.69,1.97,5.32,60,23,19,9.14,1.28,4.93,52,23,19,10.45,1.77,5.25,58,23,19,9.69,1.22,5.57,62,23,19,9.55,1.19,5.14,51,23,19,10.09,1.48,4.8,51,23,19,10.38,1.45,5.56
41,24,21,9.66,1.57,4.88,58,24,20,9.34,1.22,4.7,55,24,20,8.76,1.53,4.99,57,24,20,11.11,1.87,5.29,59,24,20,9.56,1.22,4.95,52,24,20,10.88,1.85,5.24,58,24,20,10.15,1.16,5.58,61,24,20,9.37,2.02,5.27,50,24,20,9.59,1.41,4.76,51,24,20,9.48,1.37,5.39
40,25,22,10.13,1.04,5.07,58,25,21,8.87,1.16,4.7,54,25,21,8.39,1.36,4.95,57,25,21,10.97,1.72,5.34,58,25,21,9.2,1.15,4.86,51,25,21,11.28,1.76,5.23,58,25,21,10.59,1.1,5.44,61,25,21,9.57,1.5,5.24,49,25,21,9.26,1.88,4.77,51,25,21,9.92,1.52,5.24
